ID,Acente Adı,Resmi Tam Ünvan (Long Name),Segment,Şehir,Açık Adres,PIB,MB,Kuruluş Tarihi,İşletme Ölçeği,Çalışan Sayısı (2023),Çalışan Sayısı (2024),Çalışan Sayısı (2025),Toplam Gelir (2023),Toplam Gelir (2024),Toplam Gelir (2025),Telefon Numaraları,Web / Profil Linkleri
81,BEOAGENT,,,Beograd,Palmotićeva 92 45 11108 - Beograd,,,,,-,-,-,-,-,-,"063 317170,064 1293890",https://www.nekretnine.rs/en/agencije-za-nekretnine/957/
62,BEOCITY NEKRETNINE,,,Beograd,"Ulica Makenzijeva, 22 22 11111 - Beograd",,,,,-,-,-,-,-,-,"011 3283901,0113283901,060 3283901,0603283901","https://www.indomio.rs/en/agent/beocity-nekretnine/30661,https://www.nekretnine.rs/en/agencije-za-nekretnine/307/"
189,BEOPRO PROPERTIES 011,,,Beograd,Ulica Marka Nikolica 19 11080 - Beograd,,,,,-,-,-,-,-,-,069 3755500,https://www.nekretnine.rs/en/agencije-za-nekretnine/3361/
259,BEOPROJEKT INŽENJERING,,,Beograd,Ulica Kamenorezacka 14 11060 - Beograd,,,,,-,-,-,-,-,-,"062 380041,062 380042,062380041,062380042","https://www.indomio.rs/en/agent/beoprojekt-in%C5%BEenjering/30718,https://www.nekretnine.rs/en/agencije-za-nekretnine/3237/"
222,BEOSTATUS,,,Beograd,Ulica Cara Lazara 5 11000 - Beograd,,,,,-,-,-,-,-,-,"064 1123938,0641123938","https://www.indomio.rs/en/agent/beostatus/30922,https://www.nekretnine.rs/en/agencije-za-nekretnine/65/"
88,BEOSTIL NEKRETNINE-STILIKO,,,Beograd,Knez Mihailova 23 23 11000 - Beograd,,,,,-,-,-,-,-,-,"063 347790,063347790","https://www.indomio.rs/en/agent/beostil-nekretnine-stiliko/31029,https://www.nekretnine.rs/en/agencije-za-nekretnine/955/"
91,BG HOME REAL ESTATE,,,Beograd,"Ulica Rade Konchara 2, Vozhdovac 11050 2 11050 - Beograd",,,,,-,-,-,-,-,-,"060 0800494,0600800494","https://www.indomio.rs/en/agent/bg-home-real-estate/30345,https://www.nekretnine.rs/en/agencije-za-nekretnine/205/"
295,BG NEKRETNINE-VINČA,,,Beograd,Ulica Palih boraca 117 11351 - Beograd,,,,,-,-,-,-,-,-,065 6792753,https://www.nekretnine.rs/en/agencije-za-nekretnine/1877/
235,BG PROPERTY GROUP,,,Beograd,Ulica Drenjacka 46 11309 - Beograd,,,,,-,-,-,-,-,-,"062 8184758,063 7284324",https://www.nekretnine.rs/en/agencije-za-nekretnine/3277/
104,BG Posrednik,,,Beograd,Ulica Starine Novaka 22 11120 - Beograd,,,,,-,-,-,-,-,-,060 1517115,https://www.nekretnine.rs/en/agencije-za-nekretnine/4387/
292,BGD NEKRETNINE,,,Beograd,Vojvode Micka Krstića 1k 1K 11060 - Beograd,,,,,-,-,-,-,-,-,065 2239344,https://www.nekretnine.rs/en/agencije-za-nekretnine/1279/
351,BIARH,,,Novi Sad,Trg Slobode 3 21101 - Novi Sad,,,,,-,-,-,-,-,-,"063 8834830,0638834830","https://www.indomio.rs/en/agent/biarh/31087,https://www.nekretnine.rs/en/agencije-za-nekretnine/569/"
96,BILDING NEKRETNINE,,,Beograd,Narodnih Heroja 27 27 11070 - Beograd,,,,,-,-,-,-,-,-,"065 8331531,065 8356181","https://www.indomio.rs/en/agent/bilding-nekretnine/30951,https://www.nekretnine.rs/en/agencije-za-nekretnine/707/"
136,BJANCA EXCLUSIVE,,,Beograd,Ulica Smiljaniceva 6 11111 - Beograd,,,,,-,-,-,-,-,-,064 0456683,"https://www.indomio.rs/en/agent/bjanca-exclusive/31040,https://www.nekretnine.rs/en/agencije-za-nekretnine/991/"
232,BLANUSA REAL ESTATE,,,Beograd,Ulica Branka Krsmanovica 7 11050 - Beograd,,,,,-,-,-,-,-,-,"064 2828878,064 2946550",https://www.nekretnine.rs/en/agencije-za-nekretnine/813/
58,BLAŽIĆ NEKRETNINE,,,Niš,Ulica Goricka 45 18106 - Niš,,,,,-,-,-,-,-,-,069 654007,https://www.nekretnine.rs/en/agencije-za-nekretnine/1329/
43,BM PLUS NEKRETNINE,,,Niš,Bulevar Nemanjica 103 18108 - Niš,,,,,-,-,-,-,-,-,060 5035392,https://www.nekretnine.rs/en/agencije-za-nekretnine/331/
215,BOLTON REAL ESTATE,,,Beograd,"Булевар ЈНА, 11А, Београд Србија, 11222 11A 11222 - Beograd",,,,,-,-,-,-,-,-,061 6864604,https://www.nekretnine.rs/en/agencije-za-nekretnine/693/
346,BOMBYX,,,Novi Sad,"Novi Sad, Svetozara Miletica 51 51 21101 - Novi Sad",,,,,-,-,-,-,-,-,063 518546,https://www.nekretnine.rs/en/agencije-za-nekretnine/641/
9,BONA FIDES NEKRETNINE NOVA,,,Divčibare,Ulica Karađorđeva 123 14000 - Valjevo - Divčibare,,,,,-,-,-,-,-,-,063 8226026,https://www.nekretnine.rs/en/agencije-za-nekretnine/31/
94,BOROVIĆ NEKRETNINE,,,Beograd,"Улица Његошева, 34, Београд Србија, 11111 34 11080 - Beograd",,,,,-,-,-,-,-,-,"063 333011,063 666011",https://www.nekretnine.rs/en/agencije-za-nekretnine/1101/
335,BOŽJAK NEKRETNINE,,,Zrenjanin,Ulica Koce Kolarova 20 23101 - Zrenjanin,,,,,-,-,-,-,-,-,063 7729329,https://www.nekretnine.rs/en/agencije-za-nekretnine/33/
113,BRIAN LACK AND COMPANY,,,Beograd,Ulica Hercegovacka 14 11000 - Beograd,,,,,-,-,-,-,-,-,"011 4010888,060 6860462","https://www.indomio.rs/en/agent/brian-lack-and-company/30003,https://www.nekretnine.rs/en/agencije-za-nekretnine/1057/"
245,BRIMA REAL ESTATE,,,Beograd,Ulica Stevana Markovica 3 11080 - Beograd,,,,,-,-,-,-,-,-,066 6161161,https://www.nekretnine.rs/en/agencije-za-nekretnine/529/
327,BUILD.ING,,,Beograd,Ulica Pere Veljkovica 16 11160 - Beograd,,,,,-,-,-,-,-,-,069 4011938,https://www.nekretnine.rs/en/agencije-za-nekretnine/171/
181,Bel Mondo,,,Beograd,Ulica Omladinskih brigada 84 11070 - Beograd,,,,,-,-,-,-,-,-,069 0777757,https://www.nekretnine.rs/en/agencije-za-nekretnine/4845/
27,CAPITAL LUX,,,Loznica,Ulica Kneza Milosa 8 15300 - Loznica,,,,,-,-,-,-,-,-,061 6648222,https://www.nekretnine.rs/en/agencije-za-nekretnine/797/
6,CB NEKRETNINE,,,Subotica,Dušana Petrovića 2 2 24109 - Subotica,,,,,-,-,-,-,-,-,062 556306,https://www.nekretnine.rs/en/agencije-za-nekretnine/427/
160,CENTROTEXTIL,,,Beograd,Ulica Kneza Mihaila 1 11000 - Beograd,,,,,-,-,-,-,-,-,"063 661086,069 8900003",https://www.nekretnine.rs/en/agencije-za-nekretnine/757/
204,CENTURY 66 RS,,,Beograd,Ulica Todora Dukina 84 11050 - Beograd,,,,,-,-,-,-,-,-,069 2441815,https://www.nekretnine.rs/en/agencije-za-nekretnine/1797/
4,CENZAR,,,Subotica,Ulica Prvomajska 14 24000 - Subotica,,,,,-,-,-,-,-,-,024 600680,https://www.nekretnine.rs/en/agencije-za-nekretnine/3439/
358,CFU INVEST,,,Novi Sad,Ulica Maksima Gorkog 17 21101 - Novi Sad,,,,,-,-,-,-,-,-,"021 3100102,069 3100102",https://www.nekretnine.rs/en/agencije-za-nekretnine/3411/
328,CITY SPACE REAL ESTATE,,,Beograd,Bulevar Vudroa Vilsona 14 11000 - Beograd,,,,,-,-,-,-,-,-,"064 8161061,069 3115191",https://www.nekretnine.rs/en/agencije-za-nekretnine/831/
226,CITYPRO,,,Beograd,"Лазаревачки друм, 12Б, Београд Србија, 11030 12 11030 - Beograd",,,,,-,-,-,-,-,-,"011 4452099,063 219949",https://www.nekretnine.rs/en/agencije-za-nekretnine/633/
244,COMFORT DE LUXE,,,Beograd,Ulica Antifasisticke Borbe 18 11070 - Beograd,,,,,-,-,-,-,-,-,063 215982,https://www.nekretnine.rs/en/agencije-za-nekretnine/1871/
125,CONCEPT REAL ESTATE,,,Beograd,Ulica Majke Jevrosime 47 11103 - Beograd,,,,,-,-,-,-,-,-,"061 2299988,066 8027377",https://www.nekretnine.rs/en/agencije-za-nekretnine/1103/
223,CONFIDO NEKRETNINE,,,Beograd,"Ulica Marshala Birjuzova, 1, Beograd Srbija, 11000 1 11000 - Beograd",,,,,-,-,-,-,-,-,"060 6262045,0606262045","https://www.indomio.rs/en/agent/confido-nekretnine/30235,https://www.nekretnine.rs/en/agencije-za-nekretnine/177/"
319,CONSULTING PLUS,,,Beograd,Ulica Ulcinjska 8 11050 - Beograd,,,,,-,-,-,-,-,-,063 201168,https://www.nekretnine.rs/en/agencije-za-nekretnine/695/
188,CONTINENTAL 100,,,Beograd,Ulica Dobracina 21 11158 - Beograd,,,,,-,-,-,-,-,-,"011 3038662,0113038662,0113038662
06310,063 1026070,0631026070","https://www.indomio.rs/en/agent/continental-100/30119,https://www.nekretnine.rs/en/agencije-za-nekretnine/1467/"
287,Casamia,,,Beograd,Ulica Terazije 18 11000 - Beograd,,,,,-,-,-,-,-,-,+39 339 123 9874,https://www.nekretnine.rs/en/agencije-za-nekretnine/3/
363,DAMA GRADNJA,,,Novi Sad,Futoski put 40B 21101 - Novi Sad,,,,,-,-,-,-,-,-,"062 483483,062 793793",https://www.nekretnine.rs/en/agencije-za-nekretnine/431/
56,DAMBO-dom izuzetnih nekretnina,,,Niš,Ulica Vrbaska 1 18106 - Niš,,,,,-,-,-,-,-,-,"061 6767106,0616767106,069 678666,069678666","https://www.indomio.rs/en/agent/dambo-dom-izuzetnih-nekretnina/30765,https://www.nekretnine.rs/en/agencije-za-nekretnine/335/"
116,DANOS AND ASSOCIATES,,,Beograd,Bulevar Milutina Milankovica 9 11070 - Beograd,,,,,-,-,-,-,-,-,"011 2600603,0112600603","https://www.indomio.rs/en/agent/danos-and-associates/30051,https://www.nekretnine.rs/en/agencije-za-nekretnine/1135/"
289,DE-MI INTERNATIONAL,,,Beograd,Ulica Vojni put blok 1. 171A 11080 - Beograd,,,,,-,-,-,-,-,-,"063 234078,063234078","https://www.indomio.rs/en/agent/de-mi-international/31172,https://www.nekretnine.rs/en/agencije-za-nekretnine/167/"
